,GroupGenre,SubGenre
0,Fiction,"{English,Diary fiction,Baudelaire Klaus (Fictitious character),Fantasy fiction,Alleyn Roderick (Fictitious character),Baggins Frodo (Fictitious character),Fantastic fiction,Hungarian fiction,Fantasy fiction American,Appleby John Sir (Fictitious character),Bellehaven (Wash. : Imaginary place),Frankensteins monster (Fictitious character),Bengali fiction,Bennet Elizabeth (Fictitious character),Indic fiction (English),Historical fiction,Adventure,Latin American fiction,Dalziel Andrew (Fictitious character),Alternative histories (Fiction) American,Political fiction,Fiction in English,Broach Bauchelain (Fictitious character),Amerikaanse fiksie,Bond James (Fictitious character),Blandings Castle (England : Imaginary place),Fantasy literature English,Experimental fiction,Science fiction French,Corbett Hugh (Fictitious character),Cato Quintus Licinius (Fictitious character),Jewish fiction,Franse fiksie,Anthony (Fictitious character : Alexander),Crusoe Robinson (Fictitious character),Chinese fiction,Discworld (Imaginary place),Fantasy,Adventure fiction,Fiction,Classical fiction,Czech fiction,Science fiction Belgian (French),Mythology,Cadfael Brother (Fictitious character),Cassidy Hopalong (Fictitious character),Fantasy fiction English,Alfie (Fictitious character : Hughes),Juvenile Fiction,Imaginary places,Young Adult Fiction,Alex (Fictitious character),Battle Superintendent (Fictitious character),Israeli fiction,Mulder Fox (Fictitious character),Darkover (Imaginary place),Falstaff John Sir (Fictitious character),JUVENILE FICTION,Christian fiction,FICTION,Detective and mystery stories,Atlantis,Campion Albert (Fictitious character),Dallas Eve (Fictitious character),Samoan fiction,Science fiction American,Domestic fiction,Argonauts (Greek mythology),Autobiographical fiction,American fiction,Curious George (Fictitious character),DiGriz James Bolivar (Fictitious character),Beck Martin (Fictitious character),Biographical fiction,Cooper Ben (Fictitious character),French fiction,Mystery,Saint (Fictitious character),Dystopias,Italian fiction,Australian fiction,English fiction,Oz (Imaginary place),Clifford (Fictitious character : Bridwell),44 Scotland Street (Edinburgh Scotland : Imaginary place),Shugak Kate (Fictitious character),Science fiction}"
1,HEALTH & FITNESS,"{Yoga Rāja,Horsemanship,Time management,Baseball players,Mind & Spirit,Gymnastics,Yoga,Exercise,Body,Reiki (Healing system),Health,Physical fitness,Mindfulness (Psychology) Sports & Recreation,Baseball stories,Hatha yoga,Reducing diets,Basketball stories,HEALTH & FITNESS,Hand-to-hand fighting,Baseball,Beauty Personal,Bicycle touring,Aikido,Ballet dancing,Diet,Meditation}"
2,Philosophy,"{Jewish ethics,Philosophy,Absurd (Philosophy),Philosophy Ancient,Philosophers,Contemplation}"
3,Religion,"{Islam,Astrology,Christianity,Reincarnation therapy,Christian women,Bibles,Reiki (Healing system),Mormon Church,Hindu art,Anti-clericalism,Reincarnation,Kuṇḍalinī,Indian mythology,Baptists,Fourth Way (Occultism),Buddhist pilgrims and pilgrimages,Bible stories English,Easter stories,Enlightenment (Buddhism),Christian women saints,Beguines,Religious satire,Hanukkah,Marketing,Demonology,Zen Buddhism,Jewish ethics,Witches,Spiritualism,Christian martyrs,Church work with children with mental disabilities,BIBLES,Catholics,Mysticism,Jewish law,Clergy,Occult sciences,Buddhism,Hinduism,RELIGION,Buddha (The concept),Jews,Angels,Mormons and Mormonism,Christian poetry Scottish Gaelic,Religion,Greek language Biblical,Bible and evolution,Theology Doctrinal,Evangelistic sermons,Buddhist art and symbolism,Evangelistic work,Sermons American,Hindu sects,Spiritual healing,Covenant theology,Kingdom of God,Conversion,Devotional calendars,Tarot,Argonauts (Greek mythology),Second Advent,Women and religion,Hindu hymns,Confucianism,Hebrew language,Astral projection,Bible,Mormons,Christianity and other religions}"
4,Biography & Autobiography,"{Autobiographies,Biography,Biography & Autobiography,Autobiographical fiction,Christian biography,BIOGRAPHY & AUTOBIOGRAPHY}"
5,Business & Economics,"{Business cycles,Businesswomen,Finance Personal,Corporations,Success,Business enterprises,Economic assistance Domestic,Business & Economics,Business communication,Businessmen,Home-based businesses,Home economics,Corporate culture,Multilevel marketing,Communication in marketing,Business,Civil engineering,Real estate business,Business presentations,Communication and culture,Advertising agencies,Cost,Résumés (Employment),Economics,Business writing,Insurance agents}"
6,Juvenile Nonfiction,"{Young Adult Nonfiction,JUVENILE NONFICTION,Juvenile Nonfiction}"
7,Electronics,"{COMPUTERS,Technology,Technology & Engineering,Computer science,Electrical engineering,Human-computer interaction,Ciphers,Computers,Electronics,Computer interfaces,Communication satellites,Computer software,Linux,Computer games,Microsoft .NET Framework,Distributed operating systems (Computers),Artificial intelligence,Computer programs,Computer networks,Electronic data processing,Java (Computer program language)}"
8,Science,"{Interplanetary voyages,Experiments,Water of,Turning (Lathe work),Crystallization,Scientists,Aerodynamics,Jupiter (Planet),Chemical engineering,Astronautics,Science,SCIENCE,Social Science,Finite element method,Carbohydrates Refined,Civil engineering,Astronomy,Biochemistry,Outer space,Aeronautics,Chemistry,Astronauts,Mars (Planet),Life on other planets,Political science,Electrical engineering,Animal experimentation,POLITICAL SCIENCE}"
9,Cooking,"{Food,Cooking (Herbs),Bakeries,Cooking (Frozen foods),COOKING,Beverages,Cooking,Meat,Cookies,Baking,Cookery,Fruit wines,Casserole cooking,Chocolate,Cookery Chinese,Cookbooks,Fruit,Food Junk,Apples,Grocery trade,Canning and preserving,Cookery American,Deserts,Cookery French,Wine and wine making}"
10,Psychology,"{Courage,Neuropsychology,Bullies,Developmentally disabled,Prejudices,Self-esteem,Happiness,Educational psychology,Reincarnation therapy,Depression in adolescence,Children with disabilities,Problem children,Adopted children,Attitude change,Memory,Interpersonal relations,Behavior,Behavior modification,Anger,Child abuse,Best friends,Learning Psychology of,Collective behavior,Despair,Alienation (Social psychology),Anorexia nervosa,Mindfulness (Psychology),Self-actualization (Psychology),Dreams,Female friendship,Abandoned children,Family & Relationships,Conversation,Honesty,Learning disabilities,Behavior disorders in children,Boredom,Assertiveness (Psychology),Emotions,Self-preservation,Dysfunctional families,Fear,Forensic psychology,Bullying,Consciousness,Animal behavior,Adolescence,Child rearing,Alcoholics,Adoption,Child development,Church work with children with mental disabilities,Archetype (Psychology),Down syndrome,FAMILY & RELATIONSHIPS,Bereavement,Obsessive-compulsive disorder,Dating (Social customs),Psychology}"
11,Education,"{English,Algebra,Physics,Education,Problem solving,Foreign Language Study,Study Aids,Language Arts & Disciplines,Political Science,Alphabet,Early childhood education,Apostrophe,Physical fitness,Algebras Linear,Finite element method,Biochemistry,Calculus,Mathematics,Chemistry,Advanced placement programs (Education),Differential equations,Political science,English language,Encyclopedias and dictionaries,Teaching}"
12,Literature,"{American literature,Literature,Colonies in literature,Governesses in literature,Literary Collections,Gothic revival (Literature),Dragons in literature,Literary Criticism,Aesop,Holocaust denial literature,Minnesota literature,English literature,Christian literature Early,Beowulf,Assassination in literature}"
13,Reference,"{Reference}"
14,Travel,"{Travelers,Travel,Mountaineering expeditions}"
15,Comics & Graphic Novels,"{Fantasy comic books strips,Graphic novels,Pictorial,Comic books strips etc,Cartoons and comics,etc,Caricatures and cartoons,COMICS & GRAPHIC NOVELS,Batman (Comic strip),Detective and mystery comic books strips etc,Comics & Graphic Novels}"
16,Music,"{Folk music,Music,Musicals,Gospel musicians,Composers,Popular music,Bands (Music),Rock music,Musicians,Folk songs Hebrew,Rock musicians,Composition (Music),Operas,Child musicians,Singers,Childrens songs}"
17,Motion pictures,"{Actresses,Actors,Motion picture actors and actresses,Television,Blair Witch Project (Motion picture),Finding Nemo (Motion picture),Gone with the wind (Motion picture : 1939),Motion pictures,Actors and actresses American,JFK (Motion picture)}"
18,Performing Arts,"{Performance,Performing Arts,English drama,British and Irish drama (Dramatic works by one author),Australian drama,African American dramatists,American drama,Stage lighting,Drama}"
19,Poetry,"{POETRY,Childrens poetry American,Dialect poetry Scottish,American poetry,Poetry,Epic poetry,Childrens poetry English,English poetry}"
20,Art,"{Illustrators,Fantasy in art,Art Islamic,Artists,Forensic photography,Color,ART,Photography,Creative ability,Erotic,Sculpture Modern,Crafts & Hobbies,Quilting,Animals Mythical in art,Artists DutchPhotography Artistic,Knitting,Painters,Art appreciation,Ceramic sculpture,Art,Performing arts,Glass painting and staining,Art patronage,Art Tibetan,Decorative arts,Male nude in art,Creation (Literary artistic etc.),Art and society,Handicraft,Basketwork,Art Dutch}"
21,Medical,"{Body temperature,Obsessive-compulsive disorder,Blood sugar,Human anatomy,Nursing care plans,Hospital care,Irritable colon,Health,Conjoined twins,Medicine Popular,Physicians,Medicine,Diabetes,Muscles,Childbirth,Homeopathic pharmacopoeias,Nurses,Brain,Medical,Care of the sick,Cancer,Healing,Medicine Tibetan,Pediatrics,Body Human,Anatomy,African American physicians,Folk medicine,Cerebral dominance,AIDS (Disease),Artistic}"
22,Humor,"{Humorous stories,Humorous stories American,African American comedians,Comedy,American wit and humor,Humor}"
23,True Crime & Law,"{Jewish law,Criminal investigation,Forensic photography,False imprisonment,True Crime,Criminal methods,Police,Forensic psychology,Abused women,Dogfighting,Female offenders,Crime,Citation of legal authorities,Detectives,Private investigators,Parliamentary practice,Ex-convicts,Courtroom artists,Crimes without victims,Intelligence officers,Law,Criminal defense lawyers,Examination of witnesses,Murder}"
24,Animals,"{Raccoon,Mules,Bears,Cows,Foxes,Mastodons,Cats,Dogs,Animals,Pets,Beavers,Ducks,Elephants,Atlantic salmon,Animals in logging,Horses,Collie,Llamas,Birds,Iguana (Genus),Turkey,Alligators,Setters (Dogs),Mice,Insects,Rabbits,Animal experimentation,Dinosaurs}"
25,Games & Activities,"{Amusement parks,Problem solving,Games & Activities,Chess,Games,Dungeons and Dragons (Game),Amusements,Clowns,Circus,Carnival,Checkers,Hand-to-hand fighting,Gambling,Computer games,Bicycle touring,Grand Prix racing,Fantasy games,Picture puzzles,Curiosities and wonders,Automobiles Racing,Chess players}"
26,House & Design,"{Apartment dwellers,Interior decoration,Antiques & Collectibles,Decoration and ornament,Design,Color in interior decoration,Dwellings,Antiquities,Architecture,Architect-designed houses,Architects,Architecture Domestic,ANTIQUES & COLLECTIBLES,Country homes,Landscape,Aesthetics,House & Home}"
27,Gardening,"{Agriculture,Farm life,Color in gardening,Gardening,Gardens,Nature}"
28,Transportation,"{Barges,Boats and boating,Yachts,Submarines (Ships),Helicopters,Buses,McLaren automobiles,Transportation,Cargo ships,Midget submarines,Canoes and canoeing,Airplanes Military}"
