,genre,count
0,Fiction,11526
1,Juvenile Fiction,3566
2,Religion,3043
3,History,2584
4,Biography & Autobiography,2451
5,Business & Economics,1095
6,Juvenile Nonfiction,1094
7,Computers,897
8,Social Science,874
9,Science,703
10,Cooking,646
11,"Body, Mind & Spirit",618
12,Health & Fitness,581
13,Family & Relationships,564
14,Philosophy,546
15,Sports & Recreation,490
16,Psychology,481
17,Self-Help,480
18,Language Arts & Disciplines,446
19,Young Adult Fiction,444
20,Literary Criticism,440
21,Political Science,420
22,Poetry,405
23,Art,388
24,Education,379
25,Nature,372
26,Music,361
27,Travel,346
28,Comics & Graphic Novels,344
29,Performing Arts,335
30,Medical,332
31,Humor,312
32,Reference,277
33,Crafts & Hobbies,276
34,Technology & Engineering,271
35,Mathematics,241
36,Drama,239
37,Foreign Language Study,215
38,Literary Collections,206
39,True Crime,186
40,Architecture,180
41,Pets,152
42,Games & Activities,132
43,Gardening,117
44,Transportation,109
45,Law,105
46,Photography,104
47,Bibles,99
48,House & Home,83
49,"""Children's stories""",80
50,Antiques & Collectibles,75
51,Design,62
52,Games,59
53,Detective and mystery stories,54
54,Animals,43
55,Study Aids,41
56,Young Adult Nonfiction,32
57,Great Britain,31
58,American fiction,31
59,Bible,31
60,Adventure stories,30
61,Brothers and sisters,29
62,FICTION,28
63,English fiction,26
64,United States,25
65,Electronic books,25
66,African Americans,25
67,"World War, 1939-1945",23
68,English language,23
69,England,21
70,JUVENILE FICTION,19
71,Encyclopedias and dictionaries,18
72,Christmas stories,17
73,American poetry,16
74,Fantasy fiction,16
75,Americans,15
76,"Authors, English",14
77,Science fiction,14
78,Families,14
79,Children,13
80,China,13
81,"""Children's literature""",13
82,British,12
83,Mormon Church,12
84,California,12
85,Presidents,11
86,Country life,11
87,France,11
88,Cats,11
89,American wit and humor,10
90,Africa,10
91,"Authors, American",10
92,Civilization,10
93,Man-woman relationships,10
94,"Science fiction, American",10
95,Birds,10
96,"Comic books, strips, etc",10
97,BIOGRAPHY & AUTOBIOGRAPHY,10
98,Fairy tales,9
99,Curiosities and wonders,9
100,American literature,9
101,Europe,9
102,City and town life,9
103,Conduct of life,9
104,Christian life,9
105,Canada,8
106,Artists,8
107,Adultery,8
108,"Detective and mystery stories, American",8
109,Large type books,8
110,Bears,8
111,Copyright,8
112,Adventure and adventurers,8
113,Indians of North America,8
114,Dogs,8
115,Christian fiction,8
116,Boys,8
117,Life on other planets,7
118,English drama,7
119,Actors,7
120,Fantasy,7
121,Friendship,7
122,"American wit and humor, Pictorial",7
123,Domestic fiction,7
124,Horror tales,7
125,Chicago (Ill.),7
126,Brothers,6
127,"""Children's poetry""",6
128,Ireland,6
129,Motion picture actors and actresses,6
130,American drama,6
131,Murder,6
132,HISTORY,6
133,Ghost stories,6
134,"""Children's poetry, American""",6
135,Consciousness,6
136,Frontier and pioneer life,6
137,Biography,6
138,Communism,6
139,Historical fiction,6
140,Gay men,6
141,Germany,6
142,Horses,6
143,Dwellings,6
144,"Abnormalities, Human",6
145,Australian fiction,5
146,Bildungsromans,5
147,Criminal defense lawyers,5
148,English poetry,5
149,Child development,5
150,Care of the sick,5
151,Behavior,5
152,Generals,5
153,Business,5
154,"Holocaust, Jewish (1939-1945)",5
155,Greece,5
156,Audiobooks,5
157,Absurd (Philosophy),5
158,Christianity,5
159,Halloween,5
160,Christmas,5
161,FAMILY & RELATIONSHIPS,5
162,Adolescence,5
163,Clothing and dress,5
164,Human-alien encounters,5
165,Cookery,5
166,"Cadfael, Brother (Fictitious character)",5
167,"Detective and mystery stories, English",5
168,Agriculture,5
169,Capitalism,5
170,Alaska,5
171,Self-actualization (Psychology),5
172,JUVENILE NONFICTION,5
173,"Authors, Irish",5
174,Australia,4
175,Islam,4
176,Counting,4
177,Love stories,4
178,Rabbits,4
179,Autobiographies,4
180,Antarctica,4
181,Astronomy,4
182,Bullying,4
183,Assassins,4
184,Marriage,4
185,Classical fiction,4
186,Books and reading,4
187,COMICS & GRAPHIC NOVELS,4
188,Death,4
189,"World War, 1914-1918",4
190,Calculus,4
191,COMPUTERS,4
192,"Beauty, Personal",4
193,India,4
194,Chemistry,4
195,Humorous stories,4
196,Cousins,4
197,Creative writing,4
